text,label
"So I've got a discolored spot on my arm, with no real pain",Fungal Infections
There's a mole that has been visibly growing and changing over the past few months on my scalp.,Melanoma
"I've had a raised bump on my wrist for a while, with no real pain.",Benign Keratosis-like Lesions
"I have a rough, cauliflower-like bump with tiny black dots on the surface on my armpit. rough-feeling in that spot. it came on gradually. mild irritation.",Viral Infections
"I've been watching a rough, sandpaper-like patch that feels much rougher than it looks on my ears and it came on gradually. mild irritation.",Benign Keratosis-like Lesions
"So I've got dry, red inflamed patches on my neck, with some mild discomfort",Atopic Dermatitis
"A perfectly round, evenly colored brown spot that hasn't changed at all on my chest. it hasn't changed much. occasional mild itching.",Melanocytic Nevi
"It started as a reddish-brown patch that gets worse in hot, humid weather on my neck. Now peeling and flaking. it's been there for a while.",Fungal Infections
"I have a pink growth with a slightly sunken, crater-like center on my leg.",Basal Cell Carcinoma
"I have a rough-surfaced growth on my forearm, and dry and rough to the touch.",Seborrheic Keratoses
"Something doesn't look right on my wrist: a small, round, evenly colored brown spot with fuzzy borders. flaky and thickened.",Melanocytic Nevi
Red to brownish-gray patches on my wrist. has been flaring on and off for months. no significant pain.,Eczema
"I have thickened, leathery patches on my wrists. feels dry and scaly to the touch. it's been there for a while. itching so bad it keeps me awake.",Atopic Dermatitis
"I have a raised, well-defined bump on my shoulder with rough and flaky.",Viral Infections
A growth that bleeds on my face. mild irritation but nothing painful.,Basal Cell Carcinoma
"My skin on my feet has been off. raw, inflamed skin. flaky and rough. itching so bad it keeps me awake.",Eczema
I'm concerned about a raised bump on my fingernail that spread from one foot to the other -- some mild discomfort.,Fungal Infections
My skin on my hands is doing something weird -- a raised bump,Benign Keratosis-like Lesions
"Weird skin irritation triggered by a certain soap or fabric on my forearm, flaky and rough, no clue what it is",Eczema
I have a scaly spot that's tender when I rub it firmly on my leg. flaky and thickened. it came on gradually. mild itching.,Benign Keratosis-like Lesions
"There's an inflamed patch on my face with fuzzy borders, and dry and scaly.",Psoriasis Lichen Planus
"I have mild discomfort when I press on it, along with a flat-topped warty bump that keeps multiplying on my hands with distinct, punched-out looking edges.",Viral Infections
I have a skin lesion on my wrist and honestly hasn't healed in over two months despite repeated scabbing,Basal Cell Carcinoma
"There's a pigmented spot on my wrist, and occasional mild itching.",Melanocytic Nevi
"Got symmetrical red patches on both sides of my body on my chest, rough-feeling in that spot",Atopic Dermatitis
"There's a brown to dark brown raised plaque with a greasy, waxy feel on my chest, feels like it's sitting on top of the skin rather than growing from it, not sure what it is",Seborrheic Keratoses
"A round, well-defined growth, on my hands, dry and scaly.",Seborrheic Keratoses
I've been watching a raised bump near my elbow and it showed up recently. some mild discomfort.,Basal Cell Carcinoma
"There's skin irritation triggered by a certain soap or fabric on my scalp, and constant urge to scratch.",Eczema
"I have red, inflamed areas on my back with fuzzy borders.",Atopic Dermatitis
I have a reddish mark on my arm with irregular edges.,Melanocytic Nevi
"There's a mole with an asymmetrical, uneven shape -- one half doesn't match the other on my back -- feels different from my other moles -- that it's been there for a while.",Melanoma
I've noticed no real pain and there's a scaly area on my scalp. with irregular edges. it's been there for several weeks.,Fungal Infections
I developed a ring-shaped rash with a raised scaly outer border and clearer skin in the middle on my upper back and chest that comes with mild itching.,Fungal Infections
I have a bump that keeps bleeding even after a very minor bump or scrape on my nose.,Basal Cell Carcinoma
I developed a skin lesion on my leg that comes with mild itching.,Psoriasis Lichen Planus
Lately I've had a red patch near my elbow that comes with some mild discomfort.,Basal Cell Carcinoma
I have small circular bald patches on my scalp between my toes with irregular edges.,Fungal Infections
"There's a waxy, scar-like flat patch with an indistinct border near my knee -- dry and rough to the touch -- that it hasn't changed much.",Basal Cell Carcinoma
I'm not sure what small rough bumps covering my upper arms and thighs on my cheeks is -- rough and flaky and occasional mild itching.,Atopic Dermatitis
There's a patch on my back. It looks like a raised bump. dry and scaly. it hasn't changed much.,Fungal Infections
A scaly area on my neck. it came on gradually. mild itching.,Melanoma
